                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.37731,                0.53577,                 1.0189,                0.85907,                0.94265,                0.95606,                0.87781,                0.45185,                0.39221,                 1.1099,              0.0055158,              0.0055158,              0.0055158
                     49,                0.37114,                0.52554,                 1.0126,                0.91802,                0.90664,                0.95437,                0.89311,                 0.4109,                0.34218,                 1.0494,              0.0053608,              0.0053608,              0.0053608
                     50,                0.36449,                0.50929,                 1.0096,                0.90591,                0.89524,                0.95124,                0.88493,                0.42988,                 0.4139,                 1.0704,              0.0052055,              0.0052055,              0.0052055
                     51,                 0.3688,                 0.5054,                 1.0109,                0.93768,                0.89789,                0.96232,                 0.8995,                0.41683,                 0.3762,                 1.0557,                0.00505,                0.00505,                0.00505
                     52,                0.36753,                   0.51,                 1.0114,                0.89576,                0.92088,                0.95221,                0.87254,                0.45104,                0.38369,                 1.0926,              0.0048945,              0.0048945,              0.0048945
                     53,                0.35637,                0.48912,                 1.0022,                0.93635,                0.90257,                0.95954,                0.88776,                0.42849,                0.35204,                 1.0665,              0.0047392,              0.0047392,              0.0047392
                     54,                0.36192,                 0.4988,                 1.0094,                0.86824,                 0.9618,                0.96261,                0.88974,                0.42841,                0.35036,                 1.0697,              0.0045842,              0.0045842,              0.0045842
                     55,                0.35456,                0.49235,                 1.0034,                0.87543,                0.92048,                0.95707,                0.88346,                0.43716,                0.36159,                 1.0839,              0.0044296,              0.0044296,              0.0044296
                     56,                0.35686,                0.48872,                  1.003,                0.86658,                0.94033,                0.94767,                0.87244,                 0.4211,                0.35083,                 1.0675,              0.0042756,              0.0042756,              0.0042756
                     57,                0.35361,                 0.4709,                0.99904,                0.85296,                0.94607,                0.93329,                0.86337,                0.41767,                  0.354,                 1.0652,              0.0041225,              0.0041225,              0.0041225
                     58,                0.34754,                0.46809,                0.99472,                0.87725,                0.94474,                0.94812,                0.87631,                 0.4371,                0.35688,                 1.0821,              0.0039702,              0.0039702,              0.0039702
                     59,                0.34965,                0.47638,                0.99845,                0.87709,                0.92681,                0.95866,                0.89036,                0.41251,                0.32496,                 1.0554,               0.003819,               0.003819,               0.003819
                     60,                0.35196,                0.47578,                 1.0016,                0.88481,                0.92315,                0.95541,                0.88142,                0.43452,                0.37215,                 1.0828,               0.003669,               0.003669,               0.003669
                     61,                0.34693,                0.46538,                0.99676,                0.89642,                0.92573,                0.95673,                0.88565,                0.41797,                0.33361,                  1.061,              0.0035204,              0.0035204,              0.0035204
                     62,                0.34563,                0.45528,                0.99348,                0.89389,                0.92988,                0.95451,                0.88685,                0.41336,                0.34477,                 1.0495,              0.0033732,              0.0033732,              0.0033732
                     63,                0.34587,                0.45844,                0.99816,                0.89762,                0.91756,                0.94671,                0.87806,                 0.4163,                0.35911,                 1.0583,              0.0032278,              0.0032278,              0.0032278
                     64,                0.34025,                0.45348,                0.98927,                0.91058,                0.93641,                0.95515,                0.88699,                0.42034,                0.33057,                 1.0639,              0.0030841,              0.0030841,              0.0030841
                     65,                0.33499,                0.44098,                 0.9897,                0.91558,                0.94643,                0.96567,                0.90149,                0.41227,                0.30536,                 1.0562,              0.0029424,              0.0029424,              0.0029424
                     66,                0.33246,                0.43107,                0.98616,                0.89214,                0.92614,                 0.9523,                0.88373,                0.42397,                0.33873,                 1.0715,              0.0028027,              0.0028027,              0.0028027
                     67,                0.33293,                 0.4463,                0.98965,                0.88413,                 0.9448,                0.96099,                0.89229,                0.42774,                0.32356,                 1.0726,              0.0026653,              0.0026653,              0.0026653
                     68,                 0.3297,                  0.441,                0.98431,                0.90334,                0.93731,                0.96683,                0.90029,                0.41805,                0.31302,                 1.0652,              0.0025302,              0.0025302,              0.0025302
                     69,                0.32507,                0.41727,                0.98279,                0.89427,                0.94174,                0.96167,                0.90037,                0.40965,                0.30888,                 1.0517,              0.0023977,              0.0023977,              0.0023977
                     70,                0.32701,                0.40986,                0.98496,                0.91498,                0.92059,                0.95628,                0.89637,                0.40147,                0.31515,                 1.0404,              0.0022677,              0.0022677,              0.0022677
                     71,                0.32654,                0.42346,                0.98558,                0.88287,                 0.9479,                0.96044,                0.89489,                0.41403,                0.34282,                 1.0557,              0.0021405,              0.0021405,              0.0021405
                     72,                0.32571,                0.41624,                0.98385,                0.92238,                0.91161,                0.95954,                0.89264,                0.41243,                0.32479,                 1.0579,              0.0020161,              0.0020161,              0.0020161
                     73,                0.32132,                0.40562,                0.97999,                0.91663,                0.93148,                0.96285,                0.89716,                0.40864,                0.30423,                 1.0491,              0.0018948,              0.0018948,              0.0018948
                     74,                0.31976,                0.39665,                0.98015,                0.90887,                 0.9312,                0.95829,                0.89132,                0.41796,                0.30653,                 1.0639,              0.0017765,              0.0017765,              0.0017765
                     75,                0.31868,                 0.3985,                 0.9792,                0.90183,                0.92733,                0.95511,                0.89387,                0.40077,                0.32501,                 1.0411,              0.0016615,              0.0016615,              0.0016615
                     76,                0.31616,                0.39387,                0.97895,                0.89775,                0.93417,                0.95966,                0.90065,                0.40498,                0.32159,                 1.0468,              0.0015498,              0.0015498,              0.0015498
                     77,                0.31644,                0.39216,                0.97659,                0.90757,                0.93763,                0.95551,                0.89617,                0.40749,                0.33066,                 1.0466,              0.0014416,              0.0014416,              0.0014416
                     78,                0.31502,                0.38938,                0.97783,                0.89463,                0.94911,                0.95585,                0.89525,                0.40857,                 0.3313,                 1.0489,               0.001337,               0.001337,               0.001337
                     79,                0.31638,                 0.3943,                0.98091,                0.91309,                0.93413,                0.96252,                0.90521,                0.40345,                0.31249,                 1.0434,               0.001236,               0.001236,               0.001236
                     80,                0.31225,                 0.3945,                0.97657,                0.89062,                0.93794,                 0.9508,                0.89084,                0.41053,                0.34423,                 1.0522,              0.0011387,              0.0011387,              0.0011387
                     81,                0.31231,                0.38261,                0.97598,                0.90641,                0.93316,                0.95943,                0.89711,                0.40544,                0.31944,                 1.0472,              0.0010454,              0.0010454,              0.0010454
                     82,                0.31121,                0.38283,                0.97711,                0.88784,                0.95119,                 0.9607,                0.89903,                 0.4064,                0.31866,                 1.0487,             0.00095595,             0.00095595,             0.00095595
                     83,                0.31368,                0.38213,                0.97924,                0.90823,                0.93065,                0.95447,                 0.8944,                0.40577,                0.32924,                 1.0471,             0.00087058,             0.00087058,             0.00087058
                     84,                0.30212,                0.36352,                0.96955,                0.88903,                 0.9353,                0.94974,                0.89264,                 0.4054,                0.34446,                  1.048,             0.00078933,             0.00078933,             0.00078933
                     85,                0.30364,                0.37387,                0.97069,                 0.8948,                0.95071,                0.95945,                0.89982,                0.40458,                0.32022,                 1.0474,             0.00071228,             0.00071228,             0.00071228
                     86,                0.30395,                0.36783,                0.96932,                0.91631,                0.92967,                0.96162,                0.90385,                0.40088,                0.30646,                 1.0439,             0.00063952,             0.00063952,             0.00063952
                     87,                0.30309,                 0.3715,                0.97185,                 0.9143,                0.93065,                0.96088,                0.90093,                0.40443,                0.32126,                 1.0482,             0.00057111,             0.00057111,             0.00057111
                     88,                0.30142,                0.36315,                0.97021,                 0.9113,                0.92444,                0.96018,                0.90068,                0.40142,                0.32195,                 1.0432,             0.00050711,             0.00050711,             0.00050711
                     89,                0.30032,                0.36698,                0.96836,                0.89255,                0.94769,                   0.96,                 0.8976,                0.40687,                0.32322,                 1.0488,             0.00044761,             0.00044761,             0.00044761
